Price,Close,High,Low,Open,Volume
Ticker,ADBE,ADBE,ADBE,ADBE,ADBE
Date,,,,,
2025-09-15,347.1000061035156,358.0,345.04998779296875,350.5,6768600
2025-09-16,352.7300109863281,356.94000244140625,348.32000732421875,350.1600036621094,6697000
2025-09-17,362.07000732421875,365.0,353.17999267578125,353.17999267578125,6449900
2025-09-18,367.4599914550781,370.8599853515625,365.8500061035156,366.8599853515625,4752400
2025-09-19,365.8999938964844,370.30999755859375,362.5400085449219,368.94000244140625,7693000
2025-09-22,364.0799865722656,365.3800048828125,359.3599853515625,364.1600036621094,4709600
2025-09-23,361.7799987792969,368.7300109863281,361.29998779296875,364.17999267578125,3831100
2025-09-24,353.2699890136719,355.6000061035156,347.79998779296875,355.6000061035156,6140000
2025-09-25,354.1600036621094,357.0,351.5,351.9100036621094,3336700
2025-09-26,360.3699951171875,360.7200012207031,352.7799987792969,353.7099914550781,3073000
2025-09-29,359.4200134277344,363.1700134277344,358.79998779296875,362.0400085449219,4075900
2025-09-30,352.75,362.0,349.8999938964844,360.5400085449219,5360700
2025-10-01,343.7200012207031,349.8299865722656,340.04998779296875,347.1600036621094,6505700
2025-10-02,351.4800109863281,351.7300109863281,342.4200134277344,343.760009765625,3955400
2025-10-03,346.739990234375,352.5899963378906,346.30999755859375,352.0,3122100
2025-10-06,350.1400146484375,357.3399963378906,342.0400085449219,346.92999267578125,5340200
2025-10-07,348.30999755859375,353.3299865722656,344.239990234375,352.5899963378906,3275500
2025-10-08,348.7699890136719,354.04998779296875,347.5199890136719,350.0,3285000
2025-10-09,347.4700012207031,350.6000061035156,344.29998779296875,349.7699890136719,2895500
2025-10-10,337.510009765625,348.7200012207031,336.94000244140625,347.9100036621094,4282400
2025-10-13,339.32000732421875,340.2799987792969,335.6099853515625,339.25,3020100
2025-10-14,335.94000244140625,338.82000732421875,332.7200012207031,335.2200012207031,3036900
