Price,Close,High,Low,Open,Volume
Ticker,AIR.PA,AIR.PA,AIR.PA,AIR.PA,AIR.PA
Date,,,,,
2025-09-15,196.3000030517578,198.33999633789062,193.1199951171875,193.5,1245367
2025-09-16,192.9199981689453,196.9600067138672,192.74000549316406,196.24000549316406,1422665
2025-09-17,191.6999969482422,193.72000122070312,190.83999633789062,193.16000366210938,925207
2025-09-18,191.6999969482422,194.17999267578125,191.02000427246094,193.1199951171875,1230868
2025-09-19,193.86000061035156,195.02000427246094,193.27999877929688,194.17999267578125,1688340
2025-09-22,195.13999938964844,195.9199981689453,193.33999633789062,193.63999938964844,959442
2025-09-23,194.25999450683594,196.4199981689453,194.25999450683594,196.02000427246094,857491
2025-09-24,193.82000732421875,195.9199981689453,193.4199981689453,195.0800018310547,1080557
2025-09-25,193.86000061035156,194.0800018310547,191.9199981689453,193.0,721934
2025-09-26,195.72000122070312,195.89999389648438,193.0800018310547,195.1199951171875,869404
2025-09-29,195.77999877929688,197.63999938964844,195.16000366210938,197.0,705270
2025-09-30,197.39999389648438,197.39999389648438,194.36000061035156,195.3000030517578,770902
2025-10-01,199.0800018310547,199.72000122070312,195.36000061035156,197.16000366210938,961217
2025-10-02,202.0500030517578,202.89999389648438,199.63999938964844,200.0,926298
2025-10-03,203.5500030517578,204.64999389648438,202.5500030517578,202.75,809976
2025-10-06,201.10000610351562,202.85000610351562,200.10000610351562,200.5500030517578,1016212
2025-10-07,202.4499969482422,203.6999969482422,200.0500030517578,200.9499969482422,576393
2025-10-08,205.3000030517578,205.60000610351562,202.4499969482422,203.85000610351562,740972
2025-10-09,204.64999389648438,206.6999969482422,204.64999389648438,205.89999389648438,659422
2025-10-10,202.0,205.5,201.14999389648438,204.8000030517578,841713
2025-10-13,202.35000610351562,203.5,201.3000030517578,203.5,513624
2025-10-14,203.3000030517578,203.3000030517578,198.16000366210938,201.0,792922
