Date,Close,High,Low,Open,Volume
2025-09-15,118.4893569946289,119.43092558242178,117.6468921341013,117.94423356272358,649481
2025-09-16,116.80443572998048,118.78669177142844,116.5071018607873,118.53890976624744,883509
2025-09-17,115.36730194091795,116.85399395675014,115.21863122699342,116.85399395675014,781352
2025-09-18,116.2097625732422,117.25045003887934,115.46641654398904,116.01153999012408,664096
2025-09-19,116.55665588378906,117.44867263130487,116.30887387401836,116.95310861176353,1573790
2025-09-22,115.91242218017578,116.25932304631516,115.11952427885971,116.01154103433385,556507
2025-09-23,116.11064910888672,117.15132899334262,116.11064910888672,116.50710182941089,640148
2025-09-24,114.52484893798828,116.60621632584544,113.83105476756462,116.3088748868486,898239
2025-09-25,114.22750854492188,114.5744018524566,113.2859399156552,114.1283972515844,780359
2025-09-26,115.71419525146484,115.86286596541404,115.02040866864408,115.16907182088664,595779
2025-09-29,115.26819610595705,116.1602053082952,114.82218394308096,116.11065344244696,701926
2025-09-30,116.90354919433594,116.90354919433594,115.1690751258045,115.9619805818159,942009
2025-10-01,117.3495635986328,117.59734561317312,116.11065352593126,116.8539995695522,869830
2025-10-02,117.39910888671876,117.79556160011164,116.40798088408978,117.5477795994544,663901
2025-10-03,116.90354919433594,118.19201866992772,116.11065130003138,118.14245924328696,912672
2025-10-06,114.57440185546876,115.81331192648746,112.49303444849872,113.97972653372116,1437494
2025-10-07,114.57440185546876,114.87174329719603,112.93903904938266,114.67351314880884,1015480
2025-10-08,115.91242218017578,116.75488707027776,114.27706695046464,114.6239602548971,1142265
2025-10-09,117.39910888671876,117.99379173766138,116.40798088408978,116.45754030890384,781991
2025-10-10,116.4079818725586,118.19201531712233,116.35843000903031,117.0522165920792,731976
2025-10-13,117.3000030517578,118.0433490882857,116.06109299087802,117.3000030517578,679392
2025-10-14,119.4499969482422,120.0999984741211,116.0,116.0,1191471
