Date,AIR.PA,Ticker,BNP.PA,SAN.PA,MC.PA,OR.PA,DG.PA,SU.PA,ENGI.PA,CAP.PA,KER.PA,AAPL,MSFT,GOOG,AMZN,META,NVDA,TSLA,PEP,AVGO,ADBE
2025-10-08,,MSFT,,,,,,,,,,,523.280029296875,,,,,,,,
2025-10-09,,MSFT,,,,,,,,,,,522.3400268554688,,,,,,,,
2025-10-10,,MSFT,,,,,,,,,,,519.6400146484375,,,,,,,,
2025-10-13,,MSFT,,,,,,,,,,,516.4099731445312,,,,,,,,
2025-10-14,,MSFT,,,,,,,,,,,510.2300109863281,,,,,,,,
2025-10-15,,MSFT,,,,,,,,,,,514.9600219726562,,,,,,,,
2025-10-07,,GOOG,,,,,,,,,,,,248.92999267578125,,,,,,,
2025-10-08,,GOOG,,,,,,,,,,,,246.1999969482422,,,,,,,
2025-10-09,,GOOG,,,,,,,,,,,,245.05999755859375,,,,,,,
2025-10-10,,GOOG,,,,,,,,,,,,242.16000366210938,,,,,,,
2025-10-13,,GOOG,,,,,,,,,,,,241.02999877929688,,,,,,,
2025-10-14,,GOOG,,,,,,,,,,,,241.7550048828125,,,,,,,
2025-10-15,,GOOG,,,,,,,,,,,,248.0850067138672,,,,,,,
2025-10-07,,AMZN,,,,,,,,,,,,,220.8800048828125,,,,,,
2025-10-08,,AMZN,,,,,,,,,,,,,222.9199981689453,,,,,,
2025-10-09,,AMZN,,,,,,,,,,,,,225.0,,,,,,
2025-10-10,,AMZN,,,,,,,,,,,,,226.2100067138672,,,,,,
2025-10-13,,AMZN,,,,,,,,,,,,,217.6999969482422,,,,,,
2025-10-14,,AMZN,,,,,,,,,,,,,215.55999755859375,,,,,,
2025-10-15,,AMZN,,,,,,,,,,,,,216.6199951171875,,,,,,
2025-10-07,,META,,,,,,,,,,,,,,717.719970703125,,,,,
2025-10-08,,META,,,,,,,,,,,,,,713.4500122070312,,,,,
2025-10-09,,META,,,,,,,,,,,,,,718.280029296875,,,,,
2025-10-10,,META,,,,,,,,,,,,,,730.9199829101562,,,,,
2025-10-13,,META,,,,,,,,,,,,,,713.010009765625,,,,,
2025-10-14,,META,,,,,,,,,,,,,,707.780029296875,,,,,
2025-10-15,,META,,,,,,,,,,,,,,717.0599975585938,,,,,
2025-10-07,,NVDA,,,,,,,,,,,,,,,186.22999572753906,,,,
2025-10-08,,NVDA,,,,,,,,,,,,,,,186.57000732421875,,,,
2025-10-09,,NVDA,,,,,,,,,,,,,,,192.22999572753906,,,,
2025-10-10,,NVDA,,,,,,,,,,,,,,,193.50999450683594,,,,
2025-10-13,,NVDA,,,,,,,,,,,,,,,187.97000122070312,,,,
2025-10-14,,NVDA,,,,,,,,,,,,,,,184.77000427246094,,,,
2025-10-15,,NVDA,,,,,,,,,,,,,,,184.8000030517578,,,,
2025-10-07,,TSLA,,,,,,,,,,,,,,,,447.82000732421875,,,
2025-10-08,,TSLA,,,,,,,,,,,,,,,,437.57000732421875,,,
2025-10-09,,TSLA,,,,,,,,,,,,,,,,431.80999755859375,,,
2025-10-10,,TSLA,,,,,,,,,,,,,,,,436.5400085449219,,,
2025-10-13,,TSLA,,,,,,,,,,,,,,,,423.5299987792969,,,
2025-10-14,,TSLA,,,,,,,,,,,,,,,,426.7900085449219,,,
2025-10-15,,TSLA,,,,,,,,,,,,,,,,434.8999938964844,,,
2025-10-07,,PEP,,,,,,,,,,,,,,,,,140.3699951171875,,
2025-10-08,,PEP,,,,,,,,,,,,,,,,,140.7899932861328,,
2025-10-09,,PEP,,,,,,,,,,,,,,,,,140.4600067138672,,
2025-10-10,,PEP,,,,,,,,,,,,,,,,,145.6300048828125,,
2025-10-13,,PEP,,,,,,,,,,,,,,,,,148.64999389648438,,
2025-10-14,,PEP,,,,,,,,,,,,,,,,,148.69000244140625,,
2025-10-15,,PEP,,,,,,,,,,,,,,,,,151.3300018310547,,
2025-10-07,,AVGO,,,,,,,,,,,,,,,,,,337.0299987792969,
2025-10-08,,AVGO,,,,,,,,,,,,,,,,,,333.82000732421875,
2025-10-09,,AVGO,,,,,,,,,,,,,,,,,,345.75,
2025-10-10,,AVGO,,,,,,,,,,,,,,,,,,345.3900146484375,
2025-10-13,,AVGO,,,,,,,,,,,,,,,,,,352.7699890136719,
2025-10-14,,AVGO,,,,,,,,,,,,,,,,,,350.1300048828125,
2025-10-15,,AVGO,,,,,,,,,,,,,,,,,,354.4700012207031,
2025-10-07,,ADBE,,,,,,,,,,,,,,,,,,,352.5899963378906
2025-10-08,,ADBE,,,,,,,,,,,,,,,,,,,350.0
2025-10-09,,ADBE,,,,,,,,,,,,,,,,,,,349.7699890136719
2025-10-10,,ADBE,,,,,,,,,,,,,,,,,,,347.9100036621094
2025-10-13,,ADBE,,,,,,,,,,,,,,,,,,,339.25
2025-10-14,,ADBE,,,,,,,,,,,,,,,,,,,335.2200012207031
2025-10-15,,ADBE,,,,,,,,,,,,,,,,,,,335.4200134277344
